tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_hand_r,winner_hand_l,loser_hand_r,loser_hand_l,surface_clay,surface_hard,surface_carpet,surface_grass,round_RR,round_R128,round_R64,round_R32,round_R16,round_QF,round_SF,round_F,player_1,player_2,player_1_win,player_2_win
2012-747,Beijing,Hard,32,A,20121001,15,103852,,,Feliciano Lopez,L,188.0,ESP,31.0308008214,30.0,1220.0,105992,,,Ryan Harrison,R,183.0,USA,20.4024640657,54.0,785.0,7-6(3) 5-7 6-2,3,R32,131.0,6.0,4.0,92.0,55.0,46.0,21.0,16.0,3.0,5.0,6.0,4.0,103.0,55.0,40.0,27.0,16.0,5.0,8.0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,105992,103852,False,True
2012-747,Beijing,Hard,32,A,20121001,16,104229,,,Yen Hsun Lu,R,180.0,TPE,29.1334702259,64.0,694.0,103970,2.0,,David Ferrer,R,175.0,ESP,30.4996577687,5.0,5960.0,5-4 RET,3,R32,36.0,4.0,0.0,30.0,22.0,15.0,5.0,5.0,2.0,3.0,1.0,1.0,23.0,13.0,7.0,8.0,4.0,2.0,3.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,103970,104229,False,True
2012-747,Beijing,Hard,32,A,20121001,17,104925,1.0,,Novak Djokovic,R,188.0,SRB,25.363449692,2.0,10470.0,104122,,,Carlos Berlocq,R,183.0,ARG,29.659137577,50.0,880.0,6-1 6-3,3,R16,75.0,5.0,2.0,53.0,39.0,28.0,5.0,8.0,1.0,3.0,1.0,3.0,62.0,44.0,21.0,6.0,8.0,6.0,12.0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,104122,104925,False,True
2012-747,Beijing,Hard,32,A,20121001,18,103781,,,Jurgen Melzer,L,183.0,AUT,31.3620807666,37.0,997.0,105238,6.0,,Alexandr Dolgopolov,R,180.0,UKR,23.8986995209,20.0,1745.0,7-6(9) 2-6 6-1,3,R16,108.0,6.0,2.0,81.0,45.0,38.0,23.0,14.0,2.0,4.0,13.0,4.0,97.0,46.0,35.0,26.0,13.0,9.0,11.0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,105238,103781,False,True
2012-747,Beijing,Hard,32,A,20121001,19,104252,,,Florian Mayer,R,190.0,GER,28.9911019849,29.0,1295.0,105657,,WC,Marius Copil,R,193.0,ROU,21.9575633128,221.0,220.0,3-6 6-3 6-2,3,R16,104.0,3.0,2.0,84.0,58.0,39.0,15.0,13.0,4.0,6.0,13.0,2.0,74.0,43.0,33.0,14.0,13.0,6.0,10.0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,105657,104252,False,True
2012-747,Beijing,Hard,32,A,20121001,20,105585,,WC,Ze Zhang,R,,CHN,22.2450376454,165.0,306.0,104755,5.0,,Richard Gasquet,R,185.0,FRA,26.288843258,14.0,2370.0,6-4 3-6 6-4,3,R16,130.0,6.0,3.0,88.0,52.0,37.0,20.0,14.0,1.0,3.0,5.0,1.0,86.0,53.0,37.0,18.0,15.0,0.0,3.0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,105585,104755,True,False
2012-747,Beijing,Hard,32,A,20121001,21,104022,,,Mikhail Youzhny,R,183.0,RUS,30.2696783025,28.0,1335.0,104731,,,Kevin Anderson,R,203.0,RSA,26.3737166324,36.0,1030.0,6-3 6-3,3,R16,92.0,2.0,1.0,60.0,31.0,22.0,17.0,9.0,4.0,5.0,5.0,0.0,49.0,26.0,13.0,12.0,9.0,1.0,5.0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,104731,104022,False,True
2012-747,Beijing,Hard,32,A,20121001,22,104542,3.0,,Jo Wilfried Tsonga,R,188.0,FRA,27.4579055441,7.0,4520.0,103786,,,Nikolay Davydenko,R,178.0,RUS,31.3319644079,43.0,930.0, W/O,3,R16,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,103786,104542,False,True
2012-747,Beijing,Hard,32,A,20121001,23,105023,,,Sam Querrey,R,198.0,USA,24.9856262834,26.0,1440.0,104312,,,Andreas Seppi,R,190.0,ITA,28.6105407255,25.0,1495.0,6-1 6-4,3,R16,67.0,6.0,0.0,49.0,27.0,23.0,14.0,9.0,0.0,0.0,1.0,4.0,59.0,32.0,21.0,12.0,8.0,6.0,9.0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,105023,104312,True,False
2012-747,Beijing,Hard,32,A,20121001,24,103852,,,Feliciano Lopez,L,188.0,ESP,31.0308008214,30.0,1220.0,104229,,,Yen Hsun Lu,R,180.0,TPE,29.1334702259,64.0,694.0,6-3 7-6(7),3,R16,93.0,10.0,3.0,73.0,37.0,29.0,21.0,11.0,2.0,4.0,8.0,4.0,63.0,40.0,30.0,9.0,10.0,2.0,5.0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,103852,104229,True,False
2012-747,Beijing,Hard,32,A,20121001,25,104925,1.0,,Novak Djokovic,R,188.0,SRB,25.363449692,2.0,10470.0,103781,,,Jurgen Melzer,L,183.0,AUT,31.3620807666,37.0,997.0,6-1 6-2,3,QF,54.0,12.0,3.0,43.0,30.0,24.0,9.0,8.0,2.0,2.0,3.0,0.0,44.0,24.0,14.0,7.0,7.0,0.0,4.0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,103781,104925,False,True
2012-747,Beijing,Hard,32,A,20121001,26,104252,,,Florian Mayer,R,190.0,GER,28.9911019849,29.0,1295.0,105585,,WC,Ze Zhang,R,,CHN,22.2450376454,165.0,306.0,6-3 6-4,3,QF,84.0,5.0,1.0,74.0,45.0,34.0,13.0,10.0,10.0,11.0,0.0,3.0,51.0,35.0,23.0,8.0,9.0,4.0,7.0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,105585,104252,False,True
2012-747,Beijing,Hard,32,A,20121001,27,104542,3.0,,Jo Wilfried Tsonga,R,188.0,FRA,27.4579055441,7.0,4520.0,104022,,,Mikhail Youzhny,R,183.0,RUS,30.2696783025,28.0,1335.0,6-3 6-2,3,QF,69.0,6.0,2.0,57.0,31.0,24.0,15.0,9.0,2.0,2.0,0.0,2.0,39.0,20.0,11.0,12.0,8.0,2.0,5.0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,104542,104022,True,False
2012-747,Beijing,Hard,32,A,20121001,28,103852,,,Feliciano Lopez,L,188.0,ESP,31.0308008214,30.0,1220.0,105023,,,Sam Querrey,R,198.0,USA,24.9856262834,26.0,1440.0,4-6 6-4 6-4,3,QF,147.0,12.0,4.0,118.0,67.0,47.0,20.0,15.0,13.0,17.0,10.0,1.0,93.0,55.0,40.0,15.0,15.0,5.0,10.0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,105023,103852,False,True
2012-747,Beijing,Hard,32,A,20121001,29,104925,1.0,,Novak Djokovic,R,188.0,SRB,25.363449692,2.0,10470.0,104252,,,Florian Mayer,R,190.0,GER,28.9911019849,29.0,1295.0,6-1 6-4,3,SF,60.0,7.0,2.0,56.0,40.0,32.0,9.0,9.0,2.0,2.0,0.0,0.0,42.0,31.0,18.0,8.0,8.0,0.0,3.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,104252,104925,False,True
