tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,hand_r,hand_l,surface_clay,surface_hard,surface_carpet,surface_grass,round_RR,round_R128,round_R64,round_R32,round_R16,round_QF,round_SF,round_F
2013-D001,Davis Cup WG R1: CAN vs ESP,Hard,4,D,20130201,4,105077,,,Albert Ramos,L,188.0,ESP,25.0321697467,51.0,830.0,104433,,,Frank Dancevic,R,185.0,CAN,28.3394934976,166.0,335.0,7-5 6-4,3,RR,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,1,0,0,0,0,0,0,0
2013-D002,Davis Cup WG R1: ITA vs CRO,Clay,4,D,20130201,1,105227,,,Marin Cilic,R,198.0,CRO,24.334017796,13.0,2300.0,103893,,,Paolo Lorenzi,R,183.0,ITA,31.1211498973,61.0,760.0,6-1 6-7(6) 4-6 6-3 6-2,5,RR,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,1,0,0,0,0,0,0,0
2013-D002,Davis Cup WG R1: ITA vs CRO,Clay,4,D,20130201,2,104312,,,Andreas Seppi,R,190.0,ITA,28.9363449692,18.0,1765.0,104471,,,Ivan Dodig,R,183.0,CRO,28.0711841205,59.0,772.0,6-2 6-7(2) 6-4 6-4,5,RR,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,1,0,0,0,0,0,0,0
2013-D002,Davis Cup WG R1: ITA vs CRO,Clay,4,D,20130201,3,105227,,,Marin Cilic,R,198.0,CRO,24.334017796,13.0,2300.0,104312,,,Andreas Seppi,R,190.0,ITA,28.9363449692,18.0,1765.0,6-3 6-3 7-5,5,RR,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,1,0,0,0,0,0,0,0
2013-D002,Davis Cup WG R1: ITA vs CRO,Clay,4,D,20130201,4,104926,,,Fabio Fognini,R,178.0,ITA,25.6837782341,44.0,880.0,104471,,,Ivan Dodig,R,183.0,CRO,28.0711841205,59.0,772.0,4-6 6-4 6-4 6-4,5,RR,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,1,0,0,0,0,0,0,0
2013-D003,Davis Cup WG R1: BEL vs SRB,Clay,4,D,20130201,1,104678,,,Viktor Troicki,R,193.0,SRB,26.9650924025,39.0,995.0,105676,,,David Goffin,R,163.0,BEL,22.1437371663,50.0,845.0,1-6 3-6 7-6(5) 6-4 6-4,5,RR,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,1,0,0,0,0,0,0,0
2013-D003,Davis Cup WG R1: BEL vs SRB,Clay,4,D,20130201,2,104925,,,Novak Djokovic,R,188.0,SRB,25.6892539357,1.0,12920.0,103694,,,Olivier Rochus,R,168.0,BEL,32.0273785079,127.0,436.0,6-3 6-2 6-2,5,RR,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,1,0,0,0,0,0,0,0
2013-D003,Davis Cup WG R1: BEL vs SRB,Clay,4,D,20130201,3,105676,,,David Goffin,R,163.0,BEL,22.1437371663,50.0,845.0,104081,,,Boris Pashanski,R,180.0,SRB,30.2368240931,174.0,307.0,6-4 2-6 6-2,3,RR,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,1,0,0,0,0,0,0,0
2013-D003,Davis Cup WG R1: BEL vs SRB,Clay,4,D,20130201,4,104327,,,Steve Darcis,R,178.0,BEL,28.8788501027,96.0,561.0,102800,,,Nenad Zimonjic,R,190.0,SRB,36.6516084873,,,6-2 6-4,3,RR,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,1,0,0,0,0,0,0,0
2013-D004,Davis Cup WG R1: USA vs BRA,Hard,4,D,20130201,1,105023,,,Sam Querrey,R,198.0,USA,25.311430527,20.0,1695.0,105064,,,Thomaz Bellucci,L,188.0,BRA,25.0814510609,36.0,1077.0,6-3 6-4 6-4,5,RR,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0
2013-D004,Davis Cup WG R1: USA vs BRA,Hard,4,D,20130201,2,104545,,,John Isner,R,206.0,USA,27.7590691307,16.0,2125.0,103999,,,Thiago Alves,R,178.0,BRA,30.688569473,141.0,390.0,6-3 7-6(4) 6-3,5,RR,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0
2013-D004,Davis Cup WG R1: USA vs BRA,Hard,4,D,20130201,3,105064,,,Thomaz Bellucci,L,188.0,BRA,25.0814510609,36.0,1077.0,104545,,,John Isner,R,206.0,USA,27.7590691307,16.0,2125.0,2-6 6-4 6-7(7) 6-4 6-3,5,RR,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,1,0,0,0,0,0,0,0
2013-D004,Davis Cup WG R1: USA vs BRA,Hard,4,D,20130201,4,105023,,,Sam Querrey,R,198.0,USA,25.311430527,20.0,1695.0,103999,,,Thiago Alves,R,178.0,BRA,30.688569473,141.0,390.0,4-6 6-3 6-4 7-6(3),5,RR,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0
